sku,pza_cja,kg_lt,cjs_pllt,pzs,cjs,pallets
NOVAGRO006,15,0.97,63,1.030927835,0.068728522,0.001090929
NOVAGRO007,2,10.0,52,0.1,0.05,0.000961538
NOVAGRO008,4,5.0,44,0.2,0.05,0.001136364
NOVAGRO009,4,5.0,44,0.2,0.05,0.001136364
NOVAGRO010,15,0.95,63,1.052631579,0.070175439,0.001113896
NOVAGRO011,4,5.0,44,0.2,0.05,0.001136364
NOVAGRO012,15,0.95,63,1.052631579,0.070175439,0.001113896
NOVAGRO013,21,0.24,143,4.166666667,0.198412698,0.001387501
NOVAGRO014,15,0.95,63,1.052631579,0.070175439,0.001113896
NOVAGRO015,21,0.24,143,4.166666667,0.198412698,0.001387501
NUF001,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF003,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF004,1,20.0,32,0.05,0.05,0.0015625
NUF006,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF008,2,10.0,52,0.1,0.05,0.000961538
NUF009,20,0.24,143,4.166666667,0.208333333,0.001456876
NUF011,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF012,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF020,1,200.0,800,0.005,0.005,6.25e-06
NUF021,12,1.0,44,1.0,0.083333333,0.001893939
NUF027,1,200.0,800,0.005,0.005,6.25e-06
NUF028,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF029,12,1.0,44,1.0,0.083333333,0.001893939
NUF030,12,1.0,44,1.0,0.083333333,0.001893939
NUF031,1,200.0,800,0.005,0.005,6.25e-06
NUF032,2,10.0,52,0.1,0.05,0.000961538
NUF034,1,20.0,32,0.05,0.05,0.0015625
NUF035,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF036,1,200.0,800,0.005,0.005,6.25e-06
NUF038,20,0.24,143,4.166666667,0.208333333,0.001456876
NUF039,12,1.0,77,1.0,0.083333333,0.001082251
NUF041,20,0.267,77,3.745318352,0.187265918,0.002432025
NUF042,1,20.0,32,0.05,0.05,0.0015625
NUF043,12,1.0,77,1.0,0.083333333,0.001082251
NUF044,2,10.0,52,0.1,0.05,0.000961538
NUF045,1,200.0,800,0.005,0.005,6.25e-06
NUF046,12,0.95,77,1.052631579,0.087719298,0.001139212
NUF048,12,1.0,44,1.0,0.083333333,0.001893939
NUF049,4,5.0,44,0.2,0.05,0.001136364
NUF104,1,1000.0,1000,0.001,0.001,1e-06
OLV001,15,0.95,63,1.052631579,0.070175439,0.001113896
OLV002,48,0.1,91,10.0,0.208333333,0.002289377
OLV003,15,1.0,63,1.0,0.066666667,0.001058201
OLV004,48,0.1,91,10.0,0.208333333,0.002289377
PASSA001,12,1.0,44,1.0,0.083333333,0.001893939
PASSA002,12,0.95,77,1.052631579,0.087719298,0.001139212
PTVET01,176,0.1,5000,10.0,0.056818182,1.13636e-05
PULGUN01,24,0.5,1,2.0,0.083333333,0.083333333
PULPCH01,24,0.67,1,1.492537313,0.062189055,0.062189055
PULPGD01,24,2.68,1,0.373134328,0.015547264,0.015547264
PULPMD01,24,1.34,1,0.746268657,0.031094527,0.031094527
RODRU001,2,10.0,52,0.1,0.05,0.000961538
RODRU002,15,0.97,63,1.030927835,0.068728522,0.001090929
RODRU003,4,5.0,44,0.2,0.05,0.001136364
RODRU004,15,0.9,63,1.111111111,0.074074074,0.001175779
RODRU005,4,5.0,44,0.2,0.05,0.001136364
RODRU006,15,0.95,63,1.052631579,0.070175439,0.001113896
RODRU007,2,10.0,52,0.1,0.05,0.000961538
RODRU008,15,1.0,63,1.0,0.066666667,0.001058201
SHAR005,1,20.0,60,0.05,0.05,0.000833333
SOLB001,2,10.0,52,0.1,0.05,0.000961538
SOLB002,12,0.97,77,1.030927835,0.085910653,0.001115723
SOLB003,1,20.0,32,0.05,0.05,0.0015625
SOLB004,2,10.0,52,0.1,0.05,0.000961538
SOLB005,12,1.0,77,1.0,0.083333333,0.001082251
SOLB006,4,5.0,44,0.2,0.05,0.001136364
SOLB007,12,0.9,77,1.111111111,0.092592593,0.001202501
SOLB008,1,20.0,32,0.05,0.05,0.0015625
SOLB009,12,0.95,77,1.052631579,0.087719298,0.001139212
SOLB010,4,5.0,44,0.2,0.05,0.001136364
SOLB011,12,1.0,77,1.0,0.083333333,0.001082251
SOLB012,4,5.0,44,0.2,0.05,0.001136364
SOLB013,12,0.95,77,1.052631579,0.087719298,0.001139212
SOLB014,12,1.0,77,1.0,0.083333333,0.001082251
SOLB015,12,1.0,77,1.0,0.083333333,0.001082251
SOLB016,12,1.0,77,1.0,0.083333333,0.001082251
SOLB017,15,0.95,63,1.052631579,0.070175439,0.001113896
